2021-01-01|ITEM001|Laptop|1200.00|1|0|1200.00
2022-12-12|ITEM002|Phone|799.00|1|1|0.00
2023-12-12|ITEM002|Phone|799.00|1|1|0.00
2024-09-23|ITEM001|Laptop|1200.00|3|1|2400.00
2024-11-11|ITEM001|Laptop|1200.00|1|1|0.00
2024-12-12|ITEM001|Laptop|1200.00|1|0|1200.00
2024-12-13|ITEM001|Laptop|1200.00|4|2|2400.00
2024-12-14|ITEM001|Laptop|1200.00|8|2|7200.00
2024-12-15|ITEM001|Laptop|1200.00|2|1|1200.00
2024-12-15|ITEM002|Phone|799.00|2|1|799.00
2024-12-16|ITEM003|Tablet|500.00|4|2|2000.00
2024-12-17|ITEM003|Tablet|500.00|6|3|2500.00
2024-12-18|ITEM001|Laptop|1200.00|5|2|3600.00
2024-12-19|ITEM002|Phone|799.00|3|1|1598.00
2024-12-20|ITEM004|Monitor|300.00|7|5|600.00
2024-12-21|ITEM002|Phone|799.00|2|2|0.00
2024-12-22|ITEM004|Monitor|300.00|8|4|1200.00
2024-12-23|ITEM003|Tablet|500.00|2|2|0.00
2024-12-24|ITEM001|Laptop|1200.00|3|1|2400.00
2024-12-25|ITEM003|Tablet|500.00|4|2|2000.00
2024-12-26|ITEM004|Monitor|300.00|9|6|900.00
2024-12-27|ITEM002|Phone|799.00|5|3|2400.00
2024-12-28|ITEM001|Laptop|1200.00|10|4|4800.00
2024-12-29|ITEM003|Tablet|500.00|6|3|2500.00
2024-12-30|ITEM002|Phone|799.00|4|2|1598.00
2024-01-01|ITEM001|Laptop|1200.00|1|0|1200.00
2024-12-17|ITEM001|Laptop|1200.00|1|0|1200.00
2024-12-17|ITEM002|Phone|799.00|1|0|799.00
